City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Korla,CN,77.56,overcast clouds,41.7597,86.1469,Gulisitan Hotel
8,Puerto Ayora,EC,76.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Havelock,US,88.05,clear sky,34.8791,-76.9013,Sherwood Motel
17,Jamestown,US,78.12,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Padang,ID,76.66,overcast clouds,-0.9492,100.3543,Mercure Padang
21,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Malartic,CA,80.42,broken clouds,48.1335,-78.1328,Camping Regional De Malartic
38,Atuona,PF,79.3,few clouds,-9.8,-139.0333,Villa Enata
41,Labuhan,ID,77.49,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
43,Pittsfield,US,79.81,clear sky,42.4501,-73.2454,"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel"
47,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
50,Mitsamiouli,KM,76.8,few clouds,-11.3847,43.2844,Foyer ADM
54,Acajutla,SV,83.34,overcast clouds,13.5928,-89.8275,asi es
61,Aklavik,CA,76.03,scattered clouds,68.2191,-135.0107,Aklavik Inn
65,Bethel,US,83.1,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
69,Dingle,PH,76.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Sandpoint,US,85.6,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
81,Hobyo,SO,77.72,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
83,Kattivakkam,IN,86.09,light rain,13.2167,80.3167,Raj's villa
88,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
90,Hami,CN,80.96,overcast clouds,42.8,93.45,Laoyutang Resort
98,Buraydah,SA,82.85,clear sky,26.326,43.975,فندق راحة السلام
99,Norman Wells,CA,75.24,few clouds,65.282,-126.8329,Heritage Hotel
100,Faanui,PF,80.49,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Natal,BR,79.45,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
102,Ndjole,GA,76.84,overcast clouds,-0.1783,10.7649,Hotel Kevazingo
106,Puerto Leguizamo,CO,75.79,broken clouds,-0.1934,-74.7819,la casona de juancho
109,Harper,LR,79.36,overcast clouds,4.375,-7.7169,Screensaver
110,Sao Miguel Do Araguaia,BR,83.3,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
111,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
116,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
124,Hilo,US,81.81,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
139,High Rock,BS,82.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
142,Baganga,PH,76.35,broken clouds,7.5739,126.56,Baganga Rgd Inn
144,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
153,Piranhas,BR,78.39,broken clouds,-16.4269,-51.8222,Planalto Hotel
154,Bubaque,GW,80.98,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
155,Jaitaran,IN,80.49,overcast clouds,26.2031,73.9364,Dujediya Bera Gehlot Nivas
157,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
161,Iquitos,PE,77.04,light intensity drizzle,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
164,Sibolga,ID,75.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
166,Tabou,CI,79.11,broken clouds,4.423,-7.3528,hotêl doufoulougou
169,Grand Forks,US,76.93,broken clouds,47.9417,-97.4337,Warrior Inn
171,Ocos,GT,88.72,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
172,Muscat,OM,87.82,broken clouds,23.6139,58.5922,Mutrah Hotel
173,Kingsport,US,88.36,scattered clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
178,Lorengau,PG,79.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
193,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
194,Bengkulu,ID,77.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
