City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Korla,CN,41.7597,86.1469,77.56,20,100,5.41,overcast clouds
1,Ribeira Grande,PT,38.5167,-28.7,66.9,67,94,5.59,overcast clouds
2,Saint Anthony,US,45.0205,-93.218,91.74,20,1,4.0,clear sky
3,Cape Town,ZA,-33.9258,18.4232,57.11,98,18,3.44,fog
4,Haines Junction,CA,60.7522,-137.5108,67.95,34,100,2.3,overcast clouds
5,Chuy,UY,-33.6971,-53.4616,50.32,85,59,7.45,broken clouds
6,Rongcheng,CN,30.634,117.8517,69.64,98,100,2.28,heavy intensity rain
7,Novaya Zaimka,RU,56.4857,66.9241,44.58,67,51,7.43,broken clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,76.96,98,53,7.0,light rain
9,Nyimba,ZM,-14.5566,30.8149,67.5,47,100,6.08,overcast clouds
10,Havelock,US,34.8791,-76.9013,88.05,57,7,5.01,clear sky
11,Imbituba,BR,-28.24,-48.6703,60.69,83,92,3.31,overcast clouds
12,Kenai,US,60.5544,-151.2583,61.03,56,90,5.75,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,40.66,81,40,0.0,scattered clouds
14,Mahebourg,MU,-20.4081,57.7,70.09,83,20,8.05,few clouds
15,Lagoa,PT,39.05,-27.9833,65.39,75,71,8.61,broken clouds
16,Rikitea,PF,-23.1203,-134.9692,74.5,76,57,24.63,light rain
17,Jamestown,US,42.097,-79.2353,78.12,68,90,13.8,overcast clouds
18,Padang,ID,-0.9492,100.3543,76.66,69,95,3.83,overcast clouds
19,Evensk,RU,61.95,159.2333,48.61,80,100,3.11,light rain
20,Saint-Philippe,RE,-21.3585,55.7679,69.35,81,96,9.44,light rain
21,Kapaa,US,22.0752,-159.319,82.72,73,20,3.0,few clouds
22,Kachiry,KZ,53.0675,76.1036,51.26,89,100,18.68,moderate rain
23,Pecos,US,31.4229,-103.4932,99.43,11,1,6.91,clear sky
24,Busselton,AU,-33.65,115.3333,55.04,65,100,11.92,overcast clouds
25,Flers,FR,48.7372,-0.5747,57.45,94,100,3.27,overcast clouds
26,Luderitz,NA,-26.6481,15.1594,67.71,40,0,4.59,clear sky
27,Kamina,CD,-8.7386,24.9906,62.71,42,66,4.59,broken clouds
28,Avarua,CK,-21.2078,-159.775,71.65,83,90,2.3,light intensity drizzle
29,Vallenar,CL,-28.5708,-70.7581,65.5,44,0,5.82,clear sky
30,Malartic,CA,48.1335,-78.1328,80.42,71,54,13.27,broken clouds
31,Saint George,US,37.1041,-113.5841,113.47,9,1,1.01,clear sky
32,Ginir,ET,7.1333,40.7,59.07,76,92,6.55,overcast clouds
33,New Norfolk,AU,-42.7826,147.0587,47.75,86,34,1.01,scattered clouds
34,Bredasdorp,ZA,-34.5322,20.0403,58.28,93,8,3.44,clear sky
35,Hermanus,ZA,-34.4187,19.2345,58.8,77,9,9.44,clear sky
36,Barrow,US,71.2906,-156.7887,57.22,62,1,9.22,clear sky
37,Bayir,TR,37.2687,28.2167,64.92,62,0,3.83,clear sky
38,Atuona,PF,-9.8,-139.0333,79.3,77,17,21.41,few clouds
39,Sosnogorsk,RU,63.6023,53.8817,47.26,98,98,3.0,overcast clouds
40,Khatanga,RU,71.9667,102.5,64.06,71,71,7.0,broken clouds
41,Labuhan,ID,-6.8844,112.2051,77.49,87,100,4.59,light rain
42,Albany,US,42.6001,-73.9662,80.55,56,100,6.87,overcast clouds
43,Pittsfield,US,42.4501,-73.2454,79.81,49,1,1.99,clear sky
44,Kologriv,RU,58.8275,44.3178,62.42,86,61,7.78,broken clouds
45,East London,ZA,-33.0153,27.9116,59.04,82,13,9.01,few clouds
46,Jinchang,CN,38.4953,102.1739,68.0,31,100,4.05,overcast clouds
47,Vaini,TO,-21.2,-175.2,77.16,83,20,4.61,few clouds
48,Liberal,US,37.0431,-100.921,106.16,17,1,18.41,clear sky
49,Esso,RU,55.9333,158.7,41.2,90,100,3.8,overcast clouds
50,Mitsamiouli,KM,-11.3847,43.2844,76.8,66,13,7.81,few clouds
51,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,20,8.05,few clouds
52,Londonderry,GB,54.9981,-7.3093,44.1,84,80,3.02,broken clouds
53,Oparino,RU,59.8518,48.2783,62.2,73,96,9.89,overcast clouds
54,Acajutla,SV,13.5928,-89.8275,83.34,74,92,4.61,overcast clouds
55,Kuji,JP,40.1878,141.7689,60.75,92,99,6.73,overcast clouds
56,Baruun-Urt,MN,46.6806,113.2792,53.67,64,68,16.67,broken clouds
57,Ponta Do Sol,PT,32.6667,-17.1,66.83,51,72,6.4,broken clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,46.87,66,75,0.0,broken clouds
59,Nurota,UZ,40.5614,65.6886,68.09,18,0,0.74,clear sky
60,Ust-Omchug,RU,61.15,149.6333,62.74,47,22,3.76,few clouds
61,Aklavik,CA,68.2191,-135.0107,76.03,35,40,12.66,scattered clouds
62,Bilibino,RU,68.0546,166.4372,46.65,63,79,4.47,broken clouds
63,Kaitangata,NZ,-46.2817,169.8464,41.94,73,51,5.95,broken clouds
64,El Alto,PE,-4.2714,-81.2147,73.06,75,60,20.38,broken clouds
65,Bethel,US,41.3712,-73.414,83.1,48,1,8.05,clear sky
66,Saskylakh,RU,71.9167,114.0833,68.38,53,59,14.61,broken clouds
67,Esperance,AU,-33.8667,121.9,49.53,71,0,12.71,clear sky
68,Airai,TL,-8.9266,125.4092,57.04,86,68,3.09,broken clouds
69,Dingle,PH,10.9995,122.6711,76.23,91,90,3.18,overcast clouds
70,Sobolevo,RU,54.4299,31.8996,59.61,92,1,7.38,clear sky
71,Camacha,PT,33.0833,-16.3333,63.36,59,40,12.66,scattered clouds
72,Maracacume,BR,-2.0428,-45.9592,74.91,97,28,4.29,scattered clouds
73,Lebu,CL,-37.6167,-73.65,52.43,75,0,4.25,clear sky
74,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,60,0,8.05,clear sky
75,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,92,0,14.97,clear sky
76,Sandpoint,US,48.2766,-116.5533,85.6,25,1,1.01,clear sky
77,Storslett,NO,69.7678,21.0247,50.4,84,100,3.96,light rain
78,Upernavik,GL,72.7868,-56.1549,36.86,75,17,4.23,few clouds
79,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,10.36,clear sky
80,Mataura,NZ,-46.1927,168.8643,31.48,96,40,3.04,scattered clouds
81,Hobyo,SO,5.3505,48.5268,77.72,85,99,27.09,overcast clouds
82,Kaduna,NG,10.5222,7.4383,73.36,86,36,3.8,scattered clouds
83,Kattivakkam,IN,13.2167,80.3167,86.09,81,100,12.28,light rain
84,Payo,ID,-3.7508,103.6372,72.16,97,100,2.26,overcast clouds
85,Cabedelo,BR,-6.9811,-34.8339,74.07,85,2,15.43,clear sky
86,Qaanaaq,GL,77.484,-69.3632,36.07,79,18,4.07,few clouds
87,Dawson Creek,CA,55.7666,-120.2362,65.55,77,20,0.0,few clouds
88,Tautira,PF,-17.7333,-149.15,86.02,84,27,18.45,light rain
89,Castro,BR,-24.7911,-50.0119,54.64,97,100,4.32,overcast clouds
90,Hami,CN,42.8,93.45,80.96,12,100,3.65,overcast clouds
91,Hobart,AU,-42.8794,147.3294,48.11,94,75,4.61,broken clouds
92,Tuatapere,NZ,-46.1333,167.6833,31.82,86,11,4.47,few clouds
93,Nikolskoye,RU,59.7035,30.7861,67.89,72,0,5.68,light rain
94,Rocha,UY,-34.4833,-54.3333,48.52,74,99,4.07,overcast clouds
95,Muros,ES,42.7762,-9.0603,62.24,77,85,13.0,overcast clouds
96,Pisco,PE,-13.7,-76.2167,68.05,73,0,8.05,clear sky
97,Namibe,AO,-15.1961,12.1522,67.51,80,4,8.48,clear sky
98,Buraydah,SA,26.326,43.975,82.85,12,0,8.84,clear sky
99,Norman Wells,CA,65.282,-126.8329,75.24,33,20,6.91,few clouds
100,Faanui,PF,-16.4833,-151.75,80.49,76,9,19.93,clear sky
101,Natal,BR,-5.795,-35.2094,79.45,69,0,9.22,clear sky
102,Ndjole,GA,-0.1783,10.7649,76.84,89,100,2.55,overcast clouds
103,Bluff,NZ,-46.6,168.3333,31.8,81,7,12.01,clear sky
104,Launceston,AU,-41.45,147.1667,47.16,91,75,1.01,broken clouds
105,Cidreira,BR,-30.1811,-50.2056,57.02,80,39,7.02,scattered clouds
106,Puerto Leguizamo,CO,-0.1934,-74.7819,75.79,96,78,3.38,broken clouds
107,Yar-Sale,RU,66.8333,70.8333,42.8,65,4,8.66,clear sky
108,Hamilton,US,39.1834,-84.5333,91.09,66,20,3.0,few clouds
109,Harper,LR,4.375,-7.7169,79.36,75,86,8.68,overcast clouds
110,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.3,33,75,2.77,broken clouds
111,Oranjestad,AW,12.524,-70.027,85.95,75,20,5.99,few clouds
112,Severo-Yeniseyskiy,RU,60.3725,93.0408,48.79,90,23,2.15,few clouds
113,Leningradskiy,RU,69.3833,178.4167,39.88,92,91,6.31,overcast clouds
114,Zarubino,RU,42.63,131.0922,56.08,98,100,8.39,overcast clouds
115,Arman,RU,59.7,150.1667,61.97,56,68,3.42,broken clouds
116,Isangel,VU,-19.55,169.2667,75.31,94,20,0.0,few clouds
117,Kumluca,TR,36.3703,30.2869,74.75,65,2,3.29,clear sky
118,Tasiilaq,GL,65.6145,-37.6368,41.16,67,4,3.31,clear sky
119,Port Alfred,ZA,-33.5906,26.891,60.75,83,33,12.8,scattered clouds
120,Codrington,AU,-38.2667,141.9667,53.82,82,72,15.55,broken clouds
121,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,44,75,13.8,broken clouds
122,Fort Nelson,CA,58.8053,-122.7002,67.59,49,75,8.05,broken clouds
123,Qaqortoq,GL,60.7167,-46.0333,50.5,71,100,4.32,overcast clouds
124,Hilo,US,19.7297,-155.09,81.81,66,1,6.91,clear sky
125,Zhezkazgan,KZ,47.8043,67.7144,61.32,58,11,20.65,few clouds
126,Magadan,RU,59.5667,150.8,56.64,62,43,4.23,scattered clouds
127,Rovaniemi,FI,66.5,25.7167,54.81,100,75,6.91,broken clouds
128,Nome,US,64.5011,-165.4064,65.16,70,75,5.75,broken clouds
129,Cherskiy,RU,68.75,161.3,41.65,60,26,12.66,scattered clouds
130,Chifeng,CN,42.2683,118.9636,60.53,35,0,6.29,clear sky
131,Meiktila,MM,20.8667,95.8667,74.25,81,100,13.22,overcast clouds
132,Myitkyina,MM,25.3833,97.4,74.5,96,98,2.13,overcast clouds
133,Trinidad,BO,-14.8333,-64.9,62.58,77,75,6.91,broken clouds
134,Opaka,BG,43.45,26.1667,62.85,99,93,5.14,overcast clouds
135,Puerto Madryn,AR,-42.7692,-65.0385,42.82,67,9,16.69,clear sky
136,Kristiinankaupunki,FI,62.2743,21.376,56.59,79,74,9.06,broken clouds
137,Clyde River,CA,70.4692,-68.5914,34.03,100,90,8.05,fog
138,Deputatskiy,RU,69.3,139.9,67.06,39,53,2.33,broken clouds
139,High Rock,BS,26.6208,-78.2833,82.42,74,100,11.97,overcast clouds
140,Pavilosta,LV,56.8879,21.1859,60.71,84,2,8.52,clear sky
141,Faya,SA,18.3851,42.4509,73.51,42,97,3.49,overcast clouds
142,Baganga,PH,7.5739,126.56,76.35,86,66,5.3,broken clouds
143,Tura,IN,25.5198,90.2201,72.91,91,98,4.38,overcast clouds
144,Georgetown,MY,5.4112,100.3354,81.9,89,20,1.14,few clouds
145,Rabo De Peixe,PT,37.8,-25.5833,65.71,63,40,5.75,scattered clouds
146,Gimli,CA,50.6336,-96.9907,63.21,82,100,9.22,overcast clouds
147,Barabai,ID,-2.5833,115.3833,72.23,98,79,1.28,broken clouds
148,Broken Hill,AU,-31.95,141.4333,45.72,95,68,17.11,broken clouds
149,Katsuura,JP,35.1333,140.3,71.19,83,100,9.19,light rain
150,Pevek,RU,69.7008,170.3133,33.42,95,100,4.61,overcast clouds
151,Vao,NC,-22.6667,167.4833,74.32,81,5,12.44,clear sky
152,Santiago De Cao,PE,-7.9589,-79.2392,68.13,83,90,10.36,fog
153,Piranhas,BR,-16.4269,-51.8222,78.39,31,79,3.71,broken clouds
154,Bubaque,GW,11.2833,-15.8333,80.98,82,4,14.54,clear sky
155,Jaitaran,IN,26.2031,73.9364,80.49,71,86,13.56,overcast clouds
156,Olawa,PL,50.9466,17.2926,73.81,73,0,8.08,clear sky
157,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,17.27,few clouds
158,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,40,8.05,scattered clouds
159,Havoysund,NO,70.9963,24.6622,45.48,85,100,4.41,overcast clouds
160,Sierpc,PL,52.8568,19.6691,67.42,82,0,8.5,clear sky
161,Iquitos,PE,-3.7481,-73.2472,77.04,88,75,2.3,light intensity drizzle
162,Pampas,PE,-12.4,-74.9,57.15,57,66,7.27,broken clouds
163,Saldanha,ZA,-33.0117,17.9442,53.65,69,1,8.63,clear sky
164,Sibolga,ID,1.7427,98.7792,75.96,77,100,2.8,overcast clouds
165,Akhtubinsk,RU,48.2795,46.1722,71.2,48,30,20.07,scattered clouds
166,Tabou,CI,4.423,-7.3528,79.11,77,66,8.46,broken clouds
167,Saint-Augustin,CA,51.226,-58.6502,61.36,67,14,22.64,few clouds
168,Dikson,RU,73.5069,80.5464,32.97,89,69,16.2,broken clouds
169,Grand Forks,US,47.9417,-97.4337,76.93,31,75,17.27,broken clouds
170,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,69,74,8.79,broken clouds
171,Ocos,GT,14.5094,-92.1933,88.72,74,100,4.41,overcast clouds
172,Muscat,OM,23.6139,58.5922,87.82,70,67,7.29,broken clouds
173,Kingsport,US,36.5484,-82.5618,88.36,45,40,4.0,scattered clouds
174,Mirnyy,RU,62.5353,113.9611,60.49,74,100,3.2,overcast clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,104.5,45,20,9.22,few clouds
176,Provideniya,RU,64.3833,-173.3,50.18,71,73,6.26,broken clouds
177,Chaohu,CN,31.6,117.8667,71.04,93,100,2.71,light rain
178,Lorengau,PG,-2.0226,147.2712,79.65,78,100,1.16,overcast clouds
179,Walvis Bay,NA,-22.9575,14.5053,56.35,82,2,3.44,clear sky
180,Palembang,ID,-2.9167,104.7458,73.67,97,89,2.28,overcast clouds
181,Yellowknife,CA,62.456,-114.3525,73.92,18,20,17.27,few clouds
182,Maine-Soroa,NE,13.2114,12.0241,90.45,25,68,3.04,broken clouds
183,Torbat-E Jam,IR,35.244,60.6225,74.97,12,0,11.86,clear sky
184,Souillac,MU,-20.5167,57.5167,70.18,83,20,8.05,few clouds
185,Kodiak,US,57.79,-152.4072,47.71,93,90,10.36,mist
186,Longyearbyen,SJ,78.2186,15.6401,40.84,65,20,11.5,few clouds
187,Lasa,IT,46.6166,10.7002,71.51,88,98,1.7,overcast clouds
188,Flinders,AU,-34.5833,150.8552,58.17,63,99,7.0,overcast clouds
189,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,73,20,3.44,few clouds
190,Zalantun,CN,48.0,122.7167,54.41,96,100,3.62,light rain
191,Nagato,JP,34.3833,131.2,71.51,94,100,5.26,overcast clouds
192,Yulara,AU,-25.2406,130.9889,40.84,75,43,5.75,scattered clouds
193,Najran,SA,17.4924,44.1277,84.85,19,64,3.83,broken clouds
194,Bengkulu,ID,-3.8004,102.2655,77.04,76,100,2.93,overcast clouds
195,Salinopolis,BR,-0.6136,-47.3561,79.11,85,18,12.97,few clouds
196,Jadu,LY,31.953,12.0261,83.95,21,18,7.14,few clouds
197,Roscommon,IE,53.6333,-8.1833,46.11,82,100,5.08,overcast clouds
198,Torbay,CA,47.6666,-52.7314,70.57,43,75,17.27,broken clouds
199,Arlit,NE,18.7369,7.3853,92.12,8,1,6.06,clear sky
200,Matay,EG,28.419,30.7792,80.06,33,0,21.83,clear sky
201,Klaksvik,FO,62.2266,-6.589,47.32,82,87,12.08,overcast clouds
202,Coruripe,BR,-10.1256,-36.1756,74.57,77,17,11.03,few clouds
203,Koumac,NC,-20.5667,164.2833,74.7,79,21,2.68,few clouds
204,Severo-Kurilsk,RU,50.6789,156.125,42.48,92,91,7.52,overcast clouds
205,Moyale,KE,3.5167,39.0584,69.94,66,94,12.59,overcast clouds
206,Meulaboh,ID,4.1363,96.1285,77.18,84,62,3.31,broken clouds
207,Sarangani,PH,5.4033,125.4636,81.79,75,51,3.29,broken clouds
208,Bonoua,CI,5.2741,-3.595,82.02,84,9,5.91,clear sky
209,Hualmay,PE,-11.0964,-77.6139,68.9,77,73,12.15,broken clouds
210,Qui Nhon,VN,13.7667,109.2333,80.46,78,91,5.59,overcast clouds
211,Vanderhoof,CA,54.0166,-124.0198,69.6,31,41,7.65,scattered clouds
212,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,81,75,5.75,broken clouds
213,Zhigansk,RU,66.7697,123.3711,67.03,45,100,6.64,overcast clouds
214,Freeport,US,40.6576,-73.5832,86.31,57,1,11.01,clear sky
215,Tsaratanana,MG,-16.7833,47.65,66.94,83,8,6.33,clear sky
216,Kaeo,NZ,-35.1,173.7833,57.33,98,10,4.59,clear sky
217,Amalapuram,IN,16.5833,82.0167,85.19,64,100,8.03,overcast clouds
218,Kavieng,PG,-2.5744,150.7967,80.73,73,81,1.97,broken clouds
219,Thompson,CA,55.7435,-97.8558,64.56,42,20,5.75,few clouds
220,Kushima,JP,31.4583,131.2333,72.91,94,100,5.01,overcast clouds
221,Imeni Poliny Osipenko,RU,52.4201,136.4853,47.57,79,4,12.48,clear sky
222,Hithadhoo,MV,-0.6,73.0833,83.07,74,100,10.11,overcast clouds
223,Mokhsogollokh,RU,61.4681,128.9203,61.93,69,77,3.87,broken clouds
224,Carutapera,BR,-1.195,-46.02,76.17,93,13,8.21,few clouds
225,Vanimo,PG,-2.6741,141.3028,76.03,90,87,3.02,overcast clouds
226,Mehamn,NO,71.0357,27.8492,46.31,88,100,2.46,moderate rain
227,Tierranueva,MX,21.6833,-100.5667,70.03,59,99,15.86,overcast clouds
228,Asopos,GR,36.7333,22.8667,72.61,59,2,4.34,clear sky
229,Lompoc,US,34.6391,-120.4579,96.94,66,1,14.97,clear sky
230,Wuwei,CN,37.9281,102.6414,62.2,44,100,3.2,overcast clouds
231,Tiksi,RU,71.6872,128.8694,64.47,42,84,7.54,broken clouds
232,Moindou,NC,-21.6924,165.677,66.15,81,8,3.53,clear sky
233,Berlevag,NO,70.8578,29.0864,48.0,87,75,0.0,moderate rain
234,Soure,BR,-0.7167,-48.5233,80.04,84,10,13.96,clear sky
235,Mount Gambier,AU,-37.8333,140.7667,51.71,100,98,5.75,overcast clouds
236,Gorin,RU,51.1983,136.6669,50.94,79,47,8.08,scattered clouds
237,Zaysan,KZ,47.4667,84.8667,68.14,45,81,7.78,broken clouds
238,Oconomowoc,US,43.1117,-88.4993,89.28,47,1,1.01,clear sky
239,Qasigiannguit,GL,68.8193,-51.1922,44.85,72,27,5.64,scattered clouds
240,Arroyo,ES,41.6096,-4.7969,59.22,83,0,2.3,clear sky
241,Lubin,PL,51.4009,16.2015,74.61,71,0,4.18,clear sky
242,Huarmey,PE,-10.0681,-78.1522,70.25,76,35,11.77,scattered clouds
243,Preeceville,CA,51.95,-102.6677,57.51,70,99,7.72,overcast clouds
244,Saint-Francois,FR,46.4154,3.9054,73.18,73,0,2.3,clear sky
245,Montes Altos,BR,-5.8333,-47.0667,82.18,51,91,2.35,overcast clouds
246,Karpathos,GR,35.507,27.2132,71.08,78,0,9.53,clear sky
247,Moses Lake,US,47.1301,-119.2781,89.62,18,1,8.95,clear sky
248,Ancud,CL,-41.8697,-73.8203,48.22,70,0,5.01,clear sky
249,Margate,GB,51.3813,1.3862,62.31,99,100,1.01,overcast clouds
250,Birsk,RU,55.4211,55.5428,48.92,70,53,3.85,broken clouds
251,Sulphur,US,30.2366,-93.3774,94.96,54,40,6.91,scattered clouds
252,Westport,US,41.1415,-73.3579,84.02,48,1,1.99,clear sky
253,Hollola,FI,61.05,25.4333,67.01,60,0,9.06,clear sky
254,Kununurra,AU,-15.7667,128.7333,71.58,26,97,8.05,overcast clouds
255,Tubmanburg,LR,6.8708,-10.8172,74.03,96,68,2.53,broken clouds
256,Matara,LK,5.9485,80.5353,77.68,90,97,8.97,overcast clouds
257,Bousso,TD,10.4795,16.7117,84.36,54,37,5.93,scattered clouds
258,Abu Dhabi,AE,24.4667,54.3667,86.11,79,1,4.61,clear sky
259,Grand Gaube,MU,-20.0064,57.6608,70.2,61,52,16.42,broken clouds
260,Iwaki,JP,37.05,140.8833,68.77,93,100,2.84,overcast clouds
261,Burnie,AU,-41.0667,145.9167,47.7,87,20,4.32,few clouds
262,Aksarka,RU,66.5606,67.7975,48.7,74,92,10.8,overcast clouds
263,Sao Filipe,CV,14.8961,-24.4956,73.26,80,2,6.67,clear sky
264,Cayenne,GF,4.9333,-52.3333,84.24,81,75,3.0,broken clouds
265,Victor Harbor,AU,-35.5667,138.6167,55.0,84,77,1.99,broken clouds
266,Bara,NG,10.3744,10.7288,79.83,65,100,7.7,overcast clouds
267,San Jose,US,37.3394,-121.895,109.27,23,20,8.05,few clouds
268,Krasnyy Yar,RU,46.5331,48.3456,76.93,23,20,16.93,few clouds
269,Butaritari,KI,3.0707,172.7902,81.77,74,78,7.96,broken clouds
270,Iwanai,JP,42.9744,140.5089,57.85,87,100,5.3,overcast clouds
271,Sfantu Gheorghe,RO,45.8667,25.7833,59.27,92,70,2.26,broken clouds
272,Bathsheba,BB,13.2167,-59.5167,81.59,77,6,16.4,clear sky
273,California City,US,35.1258,-117.9859,111.56,9,1,3.0,clear sky
274,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,72,20,6.26,few clouds
275,Christchurch,NZ,-43.5333,172.6333,43.0,92,90,1.99,overcast clouds
276,Sabinopolis,BR,-18.6661,-43.0839,60.8,82,80,3.91,broken clouds
277,Sitka,US,57.0531,-135.33,53.49,76,75,21.85,light rain
278,Muroto,JP,33.2833,134.15,71.64,92,100,15.61,overcast clouds
279,Mecca,SA,21.4267,39.8261,91.2,27,60,4.18,broken clouds
280,Olavarria,AR,-36.8927,-60.3225,40.96,66,85,2.68,overcast clouds
281,Luanda,AO,-8.8368,13.2343,75.2,88,20,8.05,few clouds
282,Mogadishu,SO,2.0371,45.3438,77.65,85,91,18.43,overcast clouds
283,Cheremukhovo,RU,60.3484,59.9851,45.19,75,22,4.7,few clouds
284,Coahuayana,MX,18.7333,-103.6833,92.68,86,100,4.36,overcast clouds
285,Pemba,MZ,-12.974,40.5178,77.7,78,75,12.66,broken clouds
286,Kanniyakumari,IN,8.0833,77.5667,79.07,84,100,18.66,overcast clouds
287,Villarrobledo,ES,39.2699,-2.6012,67.86,53,100,10.11,overcast clouds
288,Dawei,MM,14.0833,98.2,77.13,91,85,1.43,overcast clouds
289,Touros,BR,-5.1989,-35.4608,79.7,82,3,13.56,clear sky
