City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-06-15 17:53:32,-33.9258,18.4232,60.89,78,75,6.91
1,Mar Del Plata,AR,2021-06-15 17:53:32,-38.0023,-57.5575,53.01,74,20,11.99
2,Berdychiv,UA,2021-06-15 17:53:32,49.8993,28.6024,62.82,92,17,8.37
3,Esperance,AU,2021-06-15 17:53:33,-33.8667,121.9,51.64,67,78,15.41
4,Pevek,RU,2021-06-15 17:53:33,69.7008,170.3133,33.57,93,98,6.42
5,Saskylakh,RU,2021-06-15 17:50:46,71.9167,114.0833,53.71,74,53,7.34
6,Rikitea,PF,2021-06-15 17:53:33,-23.1203,-134.9692,74.98,76,27,12.5
7,Zhanakorgan,KZ,2021-06-15 17:53:34,43.9098,67.2495,79.11,23,0,9.95
8,Buala,SB,2021-06-15 17:53:34,-8.145,159.5921,79.81,83,92,7.61
9,Punta Arenas,CL,2021-06-15 17:52:34,-53.15,-70.9167,39.31,87,0,3.44
10,Kloulklubed,PW,2021-06-15 17:53:34,7.0419,134.2556,82.53,72,97,4.5
11,Thurso,GB,2021-06-15 17:53:35,58.5927,-3.5259,52.05,81,100,11.72
12,Hobart,AU,2021-06-15 17:50:51,-42.8794,147.3294,47.26,95,100,5.75
13,Yeppoon,AU,2021-06-15 17:53:35,-23.1333,150.7333,64.18,89,88,3.89
14,Atuona,PF,2021-06-15 17:53:35,-9.8,-139.0333,78.22,80,33,19.77
15,Ambilobe,MG,2021-06-15 17:53:36,-13.2,49.05,71.46,92,64,2.04
16,Ilulissat,GL,2021-06-15 17:53:36,69.2167,-51.1,38.93,66,89,5.39
17,Port Elizabeth,ZA,2021-06-15 17:53:36,-33.918,25.5701,70.09,40,0,9.22
18,Busselton,AU,2021-06-15 17:53:37,-33.65,115.3333,51.04,71,100,5.1
19,Jamestown,US,2021-06-15 17:53:37,42.097,-79.2353,69.08,53,20,4.0
20,Bredasdorp,ZA,2021-06-15 17:53:37,-34.5322,20.0403,52.92,87,27,1.14
21,Provideniya,RU,2021-06-15 17:53:37,64.3833,-173.3,40.86,77,9,4.38
22,Vila Franca Do Campo,PT,2021-06-15 17:53:38,37.7167,-25.4333,73.81,68,31,6.87
23,Geraldton,AU,2021-06-15 17:53:38,-28.7667,114.6,55.81,94,90,2.3
24,Poum,NC,2021-06-15 17:53:39,-20.2333,164.0167,74.89,85,21,7.43
25,Bodden Town,KY,2021-06-15 17:49:45,19.2833,-81.25,89.6,1,20,18.41
26,Nouakchott,MR,2021-06-15 17:52:30,18.0858,-15.9785,78.73,82,30,12.17
27,Khatanga,RU,2021-06-15 17:53:39,71.9667,102.5,60.66,68,15,4.76
28,Kolvereid,NO,2021-06-15 17:53:39,64.8655,11.6047,47.43,77,99,19.62
29,New Norfolk,AU,2021-06-15 17:53:40,-42.7826,147.0587,46.9,87,100,1.57
30,Kapaa,US,2021-06-15 17:53:40,22.0752,-159.319,77.18,75,76,1.01
31,Longyearbyen,SJ,2021-06-15 17:49:12,78.2186,15.6401,37.24,65,75,5.75
32,Miandrivazo,MG,2021-06-15 17:53:40,-19.5167,45.4667,72.99,49,0,1.32
33,Vestmannaeyjar,IS,2021-06-15 17:53:41,63.4427,-20.2734,42.6,73,100,8.3
34,Socorro,US,2021-06-15 17:53:41,31.6546,-106.3033,92.1,26,1,13.8
35,Diego De Almagro,CL,2021-06-15 17:53:41,-26.3667,-70.05,58.82,52,100,6.29
36,Butaritari,KI,2021-06-15 17:53:42,3.0707,172.7902,82.96,77,100,16.71
37,Puerto Leguizamo,CO,2021-06-15 17:53:42,-0.1934,-74.7819,77.74,82,98,1.9
38,Sulangan,PH,2021-06-15 17:53:42,11.1373,123.7228,84.22,73,94,1.3
39,Makakilo City,US,2021-06-15 17:53:43,21.3469,-158.0858,76.28,71,75,0.0
40,Puerto Ayora,EC,2021-06-15 17:53:43,-0.7393,-90.3518,80.56,77,83,5.99
41,Kortkeros,RU,2021-06-15 17:53:43,61.8106,51.5806,66.2,53,66,4.97
42,Bluff,NZ,2021-06-15 17:53:44,-46.6,168.3333,46.8,91,100,16.71
43,Barrow,US,2021-06-15 17:50:11,71.2906,-156.7887,44.62,93,90,12.66
44,Lavrentiya,RU,2021-06-15 17:53:44,65.5833,-171.0,37.67,85,16,6.15
45,Ushuaia,AR,2021-06-15 17:53:44,-54.8,-68.3,37.06,81,75,1.14
46,Lebu,CL,2021-06-15 17:53:45,-37.6167,-73.65,54.55,50,90,5.77
47,Clyde River,CA,2021-06-15 17:53:45,70.4692,-68.5914,46.63,66,40,6.91
48,Khovu-Aksy,RU,2021-06-15 17:53:45,51.1333,93.6,43.39,73,42,3.47
49,East London,ZA,2021-06-15 17:53:46,-33.0153,27.9116,63.54,72,0,4.61
50,Tura,IN,2021-06-15 17:53:46,25.5198,90.2201,75.29,99,93,5.3
